CustomerID,Gender,Type
1042212,M,GEM
1043417,NA,GEM
1046203,M,GEM
1053486,M,REGULAR
1053979,NA,REGULAR
1056299,NA,GEM
1066319,NA,GEM
1070308,F,GEM
1083985,M,GEM
1095884,F,GEM
1096838,M,REGULAR
1101174,F,GEM
1105171,M,GEM
1106960,F,GEM
1108753,M,GEM
1109369,M,REGULAR
1111163,M,REGULAR
1111968,M,REGULAR
1112992,M,REGULAR
1113263,M,REGULAR
1117742,F,REGULAR
1119014,F,REGULAR
1120995,F,REGULAR
1121105,NA,REGULAR
1121729,NA,REGULAR
1121938,NA,REGULAR
1122278,F,REGULAR
1123930,M,REGULAR
1126536,F,REGULAR
1126810,M,REGULAR
1130866,F,REGULAR
1133466,F,REGULAR
1138356,M,REGULAR
1138734,NA,REGULAR
1139349,NA,REGULAR
1146907,NA,REGULAR
1155382,NA,REGULAR
1155829,F,REGULAR
1156966,M,REGULAR
1159173,F,REGULAR
1161896,M,REGULAR
1162090,F,REGULAR
1162470,M,REGULAR
1162582,F,REGULAR
1163602,M,REGULAR
1163726,M,REGULAR
1164064,NA,REGULAR
1164338,NA,REGULAR
1164928,NA,REGULAR
1165191,F,REGULAR
1165943,M,REGULAR
1165988,F,REGULAR
1166003,M,REGULAR
1166378,F,GEM
1166527,M,GEM
1168446,F,GEM
1168482,M,GEM
1175704,NA,GEM
1189953,F,GEM
1189962,M,GEM
1193658,F,GEM
1193708,M,GEM
1193714,F,GEM
1193724,M,GEM
1193730,F,GEM
1193735,M,GEM
1193747,M,GEM
1203280,M,GEM
1203516,M,GEM
1203596,M,GEM
1203608,M,GEM
1203613,M,GEM
1203630,M,REGULAR
1203636,NA,GEM
1203644,NA,REGULAR
1203646,NA,GEM
1203655,F,REGULAR
1203657,M,REGULAR
1203753,F,GEM
1203821,M,REGULAR
1203926,F,REGULAR
1203939,M,REGULAR
1203946,F,REGULAR
1203956,M,REGULAR
1206937,M,REGULAR
1206938,F,REGULAR
1206943,M,REGULAR
1206945,F,REGULAR
1206946,F,REGULAR
1206968,F,REGULAR
1206972,F,REGULAR
1206983,F,REGULAR
1206986,F,REGULAR
1206988,M,GEM
1206999,M,GEM
1207013,M,GEM
1207018,M,GEM
1207020,M,GEM
1207024,F,GEM
1207025,F,GEM
1207029,F,GEM
1207041,F,REGULAR
1207045,F,GEM
